data_srlnum,rcrd_tm,x_crdnt,y_crdnt,z_crdnt,yaw_rt,roll_rt,pitch_rt
1,20200909145059.013,1.121094,1.316406,10.050781,-0.081228,-0.049837,0.024675
2,20200909145059.028,1.066406,0.875000,9.925781,-0.081015,-0.049901,0.024736
3,20200909145059.043,1.042969,0.683594,10.011719,-0.080883,-0.050517,0.025100
4,20200909145059.064,1.886719,1.242188,9.453125,-0.080508,-0.050678,0.025548
5,20200909145059.119,0.523438,0.792969,10.195312,-0.079892,-0.050176,0.025759
6,20200909145059.138,1.203125,0.574219,9.679688,-0.078893,-0.049047,0.026062
7,20200909145059.158,1.273438,1.402344,10.093750,-0.078595,-0.048770,0.026215
8,20200909145059.180,1.710938,0.675781,8.988281,-0.077922,-0.048250,0.026427
9,20200909145059.201,1.128906,1.136719,9.351562,-0.076829,-0.047423,0.026988
10,20200909145059.240,1.507812,0.679688,10.246094,-0.076533,-0.047336,0.027115
11,20200909145059.264,1.601562,0.917969,9.773438,-0.076746,-0.047472,0.027239
12,20200909145059.287,1.316406,0.804688,9.652344,-0.076782,-0.047556,0.027429
13,20200909145059.313,1.449219,0.871094,9.753906,-0.076665,-0.047720,0.027618
14,20200909145059.332,1.417969,0.953125,9.667969,-0.075749,-0.047769,0.027948
15,20200909145059.396,1.269531,1.070312,9.980469,-0.075397,-0.047662,0.028019
16,20200909145059.419,1.445312,1.179688,9.640625,-0.075028,-0.047610,0.028011
17,20200909145059.439,1.343750,1.031250,9.847656,-0.075028,-0.047610,0.028011
18,20200909145059.455,1.148438,1.062500,10.210938,-0.073723,-0.047273,0.028172
19,20200909145059.480,1.117188,0.929688,9.898438,-0.073138,-0.047093,0.028250
20,20200909145059.538,1.257812,0.796875,10.093750,-0.072679,-0.047530,0.028362
21,20200909145059.559,1.503906,0.718750,9.929688,-0.072643,-0.047646,0.028358
22,20200909145059.583,1.691406,0.960938,9.890625,-0.072643,-0.047646,0.028358
23,20200909145059.606,1.550781,0.980469,9.878906,-0.072014,-0.047198,0.028448
24,20200909145059.624,1.359375,1.035156,9.566406,-0.071239,-0.046189,0.028484
25,20200909145059.666,1.414062,0.906250,9.988281,-0.070960,-0.045653,0.028451
26,20200909145059.685,1.421875,0.886719,9.730469,-0.070960,-0.045653,0.028451
27,20200909145059.710,1.406250,0.628906,9.625000,-0.070971,-0.045205,0.028390
28,20200909145059.728,1.664062,0.941406,10.378906,-0.071064,-0.044912,0.028340
29,20200909145059.749,1.726562,0.835938,10.050781,-0.070796,-0.043925,0.028170
30,20200909145059.805,1.316406,1.000000,9.285156,-0.070796,-0.043925,0.028170
31,20200909145059.830,1.484375,1.007812,9.625000,-0.070870,-0.043691,0.028118
32,20200909145059.850,1.363281,0.765625,10.234375,-0.070870,-0.043691,0.028118
33,20200909145059.876,1.328125,0.640625,9.500000,-0.071118,-0.043312,0.027933
34,20200909145059.904,1.199219,0.636719,9.832031,-0.071156,-0.043191,0.027802
35,20200909145059.948,1.851562,0.453125,10.000000,-0.071235,-0.042749,0.027371
36,20200909145059.970,1.367188,0.417969,10.226562,-0.071179,-0.042530,0.027129
37,20200909145059.991,1.472656,0.367188,10.089844,-0.071181,-0.042129,0.026698
38,20200909145100.013,1.515625,0.414062,10.328125,-0.071082,-0.041431,0.026069
39,20200909145100.038,1.625000,0.675781,9.980469,-0.071202,-0.041061,0.025501
40,20200909145100.091,1.417969,0.285156,10.246094,-0.071954,-0.039934,0.023554
41,20200909145100.110,1.695312,-0.039062,9.960938,-0.072501,-0.039224,0.022410
42,20200909145100.126,1.488281,0.492188,9.863281,-0.073108,-0.038530,0.021206
43,20200909145100.146,1.617188,0.261719,9.949219,-0.073523,-0.037841,0.020025
44,20200909145100.175,1.503906,0.289062,9.968750,-0.073523,-0.037841,0.020025
45,20200909145100.230,1.535156,0.238281,9.906250,-0.073714,-0.036648,0.017631
46,20200909145100.244,1.925781,0.164062,9.734375,-0.073783,-0.036442,0.016806
47,20200909145100.266,1.562500,0.468750,10.109375,-0.073801,-0.035997,0.015219
48,20200909145100.284,1.320312,0.242188,9.941406,-0.073691,-0.035947,0.014836
49,20200909145100.306,1.625000,0.343750,9.847656,-0.073715,-0.035875,0.014452
50,20200909145100.360,1.660156,0.105469,9.601562,-0.073276,-0.035674,0.012864
51,20200909145100.382,1.605469,0.273438,10.339844,-0.072897,-0.035463,0.012106
52,20200909145100.406,1.054688,0.695312,10.070312,-0.072387,-0.035067,0.010913
53,20200909145100.422,1.601562,0.304688,9.843750,-0.072104,-0.034756,0.010098
54,20200909145100.441,1.363281,0.226562,9.964844,-0.071936,-0.034482,0.009338
55,20200909145100.497,1.644531,-0.035156,9.378906,-0.070720,-0.033283,0.006119
56,20200909145100.522,1.730469,0.000000,9.535156,-0.070210,-0.032679,0.004429
57,20200909145100.537,1.757812,0.265625,9.652344,-0.070192,-0.032531,0.004048
58,20200909145100.558,1.691406,0.140625,10.109375,-0.069949,-0.032296,0.003171
59,20200909145100.583,1.609375,-0.296875,10.023438,-0.068819,-0.031423,0.000903
60,20200909145100.634,1.601562,0.414062,10.425781,-0.068611,-0.031067,-0.000106
61,20200909145100.647,1.878906,0.246094,10.121094,-0.068206,-0.030103,-0.002172
62,20200909145100.667,1.613281,0.097656,9.718750,-0.068109,-0.029377,-0.003749
63,20200909145100.691,1.972656,0.089844,9.386719,-0.068333,-0.027580,-0.007517
64,20200909145100.711,1.679688,-0.222656,9.992188,-0.068292,-0.027291,-0.008086
65,20200909145100.760,1.703125,-0.003906,9.675781,-0.068367,-0.026827,-0.009153
66,20200909145100.787,1.781250,-0.085938,10.347656,-0.068461,-0.025907,-0.014014
67,20200909145100.805,1.472656,0.234375,10.492188,-0.068483,-0.025830,-0.014532
68,20200909145100.829,1.703125,-0.300781,9.699219,-0.068414,-0.025640,-0.015666
69,20200909145100.845,1.761719,0.148438,9.953125,-0.068580,-0.025517,-0.016804
70,20200909145100.897,1.582031,-0.289062,11.304688,-0.068646,-0.025302,-0.017939
71,20200909145100.918,1.707031,-0.464844,10.546875,-0.069985,-0.024654,-0.021667
72,20200909145100.939,1.625000,-0.062500,10.382812,-0.070980,-0.024507,-0.022949
73,20200909145100.961,0.894531,-0.378906,10.660156,-0.071893,-0.024210,-0.024208
74,20200909145100.979,1.234375,-0.265625,9.867188,-0.072924,-0.023942,-0.025528
75,20200909145101.039,1.781250,-0.207031,9.730469,-0.073511,-0.023890,-0.026230
76,20200909145101.063,1.500000,0.042969,10.066406,-0.074098,-0.023837,-0.026931
77,20200909145101.082,1.937500,-0.445312,10.363281,-0.077159,-0.023803,-0.030222
78,20200909145101.108,1.085938,-0.433594,10.667969,-0.077669,-0.023792,-0.030866
79,20200909145101.129,1.378906,-0.425781,9.531250,-0.078838,-0.023933,-0.032262
80,20200909145101.180,1.414062,-0.460938,10.527344,-0.079374,-0.024055,-0.032911
81,20200909145101.195,-0.261719,-0.339844,10.679688,-0.082011,-0.025533,-0.036201
82,20200909145101.219,0.546875,-0.656250,9.902344,-0.083561,-0.028214,-0.039666
83,20200909145101.239,0.691406,-0.089844,10.570312,-0.083561,-0.028214,-0.039666
84,20200909145101.253,0.664062,0.101562,9.726562,-0.083815,-0.029614,-0.041046
85,20200909145101.309,0.523438,-0.277344,9.207031,-0.083815,-0.029614,-0.041046
86,20200909145101.332,0.718750,-0.484375,10.496094,-0.083499,-0.030791,-0.042484
87,20200909145101.351,1.046875,0.289062,10.148438,-0.083151,-0.032086,-0.043926
88,20200909145101.371,0.480469,-0.156250,8.800781,-0.082778,-0.032774,-0.044645
89,20200909145101.395,0.109375,0.394531,9.972656,-0.081908,-0.036322,-0.049073
90,20200909145101.447,0.453125,-0.117188,8.906250,-0.082052,-0.037239,-0.050625
91,20200909145101.473,0.730469,-0.375000,8.312500,-0.082151,-0.037607,-0.051457
92,20200909145101.491,1.496094,-0.027344,7.191406,-0.082204,-0.037898,-0.052300
93,20200909145101.517,0.437500,0.160156,9.996094,-0.081320,-0.038220,-0.055276
