Time,Car_Surge,Ship_Surge,Total_Surge,Car_Sway,Ship_Sway,Total_Sway,Total_Heave
0.000,-2.9764,0.0000,-2.9764,2.0097,0.0000,2.0097,-1.0667
0.005,-2.9783,0.0000,-2.9783,2.0285,0.0000,2.0285,-1.1333
0.009,-2.9798,0.0000,-2.9798,2.0436,0.0000,2.0436,-1.1333
0.013,-2.9817,0.0000,-2.9817,2.0628,0.0000,2.0628,-1.1333
0.017,-2.9831,0.0000,-2.9831,2.0776,0.0000,2.0776,-1.1333
0.020,-2.9844,0.0000,-2.9844,2.0915,0.0000,2.0915,-1.1333
0.025,-2.9861,0.0000,-2.9861,2.1109,0.0000,2.1109,-1.2032
0.031,-2.9883,0.0000,-2.9883,2.1397,0.0000,2.1397,-1.2032
0.035,-2.9896,0.0000,-2.9896,2.1562,0.0000,2.1562,-1.2032
0.038,-2.9907,0.0000,-2.9907,2.1733,0.0000,2.1733,-1.2032
0.042,-2.9919,0.0000,-2.9919,2.1914,0.0000,2.1914,-1.2032
0.046,-2.9932,0.0000,-2.9932,2.2127,0.0000,2.2127,-1.2771
0.050,-2.9946,0.0000,-2.9946,2.2370,0.0000,2.2370,-1.2771
0.053,-2.9957,0.0000,-2.9957,2.2569,0.0000,2.2569,-1.2771
0.057,-2.9968,0.0000,-2.9968,2.2795,0.0000,2.2795,-1.2771
0.061,-2.9980,0.0000,-2.9980,2.3037,0.0000,2.3037,-1.2771
0.065,-2.9991,0.0000,-2.9991,2.3273,0.0000,2.3273,-1.3429
0.068,-3.0003,0.0000,-3.0003,2.3521,0.0000,2.3521,-1.3429
0.072,-3.0012,0.0000,-3.0012,2.3732,0.0000,2.3732,-1.3429
0.075,-3.0023,0.0000,-3.0023,2.3964,0.0000,2.3964,-1.3429
0.079,-3.0033,0.0000,-3.0033,2.4220,0.0000,2.4220,-1.3429
0.083,-3.0043,0.0000,-3.0043,2.4451,0.0000,2.4451,-1.3429
0.086,-3.0052,0.0000,-3.0052,2.4677,0.0000,2.4677,-1.3995
0.090,-3.0063,0.0000,-3.0063,2.4887,0.0000,2.4887,-1.3995
0.100,-3.0088,0.0000,-3.0088,2.5067,0.0000,2.5067,-1.3995
0.110,-3.0112,0.0000,-3.0112,2.4908,0.0000,2.4908,-1.4471
0.116,-3.0127,0.0000,-3.0127,2.4686,0.0000,2.4686,-1.4471
0.120,-3.0135,0.0000,-3.0135,2.4505,0.0000,2.4505,-1.4471
0.124,-3.0144,0.0000,-3.0144,2.4276,0.0000,2.4276,-1.4856
0.129,-3.0155,0.0000,-3.0155,2.3957,0.0000,2.3957,-1.4856
