Time,Input_Surge,Applied_Surge,Output_Surge,Input_Sway,Applied_Sway,Output_Sway,Input_Heave,Applied_Heave,Output_Heave
0.000,1.0596,1.0596,-0.0112,-9.6055,-9.6055,0.0000,0.8930,0.8930,0.6420
0.012,1.0596,1.0596,-0.0112,-9.6941,-9.6941,0.0000,0.8930,0.8930,0.6421
0.016,1.0596,1.0596,-0.0113,-9.7235,-9.7235,0.0000,0.8930,0.8930,0.6422
0.021,1.0556,1.0556,-0.0113,-9.7545,-9.7545,0.0000,0.9861,0.9861,0.6423
0.026,1.0556,1.0556,-0.0113,-9.7963,-9.7963,0.0000,0.9861,0.9861,0.6424
0.030,1.0556,1.0556,-0.0113,-9.8294,-9.8294,0.0000,0.9861,0.9861,0.6424
0.034,1.0556,1.0556,-0.0113,-9.8620,-9.8620,0.0000,0.9861,0.9861,0.6425
0.038,1.0608,1.0608,-0.0113,-9.9156,-9.9156,0.0000,0.8485,0.8485,0.6426
0.042,1.0608,1.0608,-0.0113,-9.9542,-9.9542,0.0000,0.8485,0.8485,0.6426
0.046,1.0608,1.0608,-0.0113,-9.9906,-9.9906,0.0000,0.8485,0.8485,0.6426
0.051,1.0608,1.0608,-0.0113,-10.0273,-10.0273,0.0000,0.8485,0.8485,0.6427
0.055,1.0608,1.0608,-0.0113,-10.0645,-10.0645,0.0000,0.8485,0.8485,0.6427
0.059,1.0624,1.0624,-0.0113,-10.1079,-10.1079,0.0000,0.8003,0.8003,0.6427
0.064,1.0624,1.0624,-0.0113,-10.1425,-10.1425,0.0000,0.8003,0.8003,0.6428
0.068,1.0624,1.0624,-0.0113,-10.1688,-10.1688,0.0000,0.8003,0.8003,0.6428
0.072,1.0624,1.0624,-0.0113,-10.1929,-10.1929,0.0000,0.8003,0.8003,0.6428
0.076,1.0624,1.0624,-0.0113,-10.2158,-10.2158,0.0000,0.8003,0.8003,0.6428
0.080,1.0642,1.0642,-0.0113,-10.2534,-10.2534,0.0000,0.7493,0.7493,0.6428
0.090,1.0642,1.0642,-0.0113,-10.2958,-10.2958,0.0000,0.7493,0.7493,0.6429
0.096,1.0642,1.0642,-0.0113,-10.3169,-10.3169,0.0000,0.7493,0.7493,0.6429
0.101,1.0661,1.0661,-0.0113,-10.3523,-10.3523,0.0000,0.6902,0.6902,0.6429
0.109,1.0661,1.0661,-0.0113,-10.3802,-10.3802,0.0000,0.6902,0.6902,0.6429
0.115,1.0661,1.0661,-0.0113,-10.3985,-10.3985,0.0000,0.6902,0.6902,0.6429
0.119,1.0645,1.0645,-0.0113,-10.4224,-10.4224,0.0000,0.7183,0.7183,0.6429
0.123,1.0645,1.0645,-0.0113,-10.4369,-10.4369,0.0000,0.7183,0.7183,0.6429
0.128,1.0645,1.0645,-0.0113,-10.4495,-10.4495,0.0000,0.7183,0.7183,0.6429
0.132,1.0645,1.0645,-0.0113,-10.4614,-10.4614,0.0000,0.7183,0.7183,0.6429
0.135,1.0645,1.0645,-0.0113,-10.4718,-10.4718,0.0000,0.7183,0.7183,0.6429
0.139,1.0667,1.0667,-0.0113,-10.4990,-10.4990,0.0000,0.6481,0.6481,0.6429
0.145,1.0667,1.0667,-0.0113,-10.5149,-10.5149,0.0000,0.6481,0.6481,0.6429
0.149,1.0667,1.0667,-0.0113,-10.5250,-10.5250,0.0000,0.6481,0.6481,0.6429
0.154,1.0667,1.0667,-0.0113,-10.5357,-10.5357,0.0000,0.6481,0.6481,0.6429
0.158,1.0688,1.0688,-0.0113,-10.5619,-10.5619,0.0000,0.5761,0.5761,0.6429
0.162,1.0688,1.0688,-0.0113,-10.5727,-10.5727,0.0000,0.5761,0.5761,0.6428
0.166,1.0688,1.0688,-0.0113,-10.5812,-10.5812,0.0000,0.5761,0.5761,0.6428
0.170,1.0688,1.0688,-0.0113,-10.5891,-10.5891,0.0000,0.5761,0.5761,0.6428
0.174,1.0688,1.0688,-0.0113,-10.5970,-10.5970,0.0000,0.5761,0.5761,0.6428
0.179,1.0706,1.0706,-0.0114,-10.6229,-10.6229,0.0000,0.5019,0.5019,0.6428
0.184,1.0706,1.0706,-0.0114,-10.6319,-10.6319,0.0000,0.5019,0.5019,0.6427
0.188,1.0706,1.0706,-0.0114,-10.6386,-10.6386,0.0000,0.5019,0.5019,0.6427
0.192,1.0706,1.0706,-0.0114,-10.6454,-10.6454,0.0000,0.5019,0.5019,0.6426
0.196,1.0706,1.0706,-0.0114,-10.6523,-10.6523,0.0000,0.5019,0.5019,0.6426
0.200,1.0714,1.0714,-0.0114,-10.6729,-10.6729,0.0000,0.4495,0.4495,0.6425
0.206,1.0714,1.0714,-0.0114,-10.6809,-10.6809,0.0000,0.4495,0.4495,0.6425
0.215,1.0714,1.0714,-0.0114,-10.6921,-10.6921,0.0000,0.4495,0.4495,0.6424
0.220,1.0726,1.0726,-0.0114,-10.7114,-10.7114,0.0000,0.3798,0.3798,0.6423
0.225,1.0726,1.0726,-0.0114,-10.7163,-10.7163,0.0000,0.3798,0.3798,0.6423
0.230,1.0726,1.0726,-0.0114,-10.7205,-10.7205,0.0000,0.3798,0.3798,0.6422
0.234,1.0726,1.0726,-0.0114,-10.7237,-10.7237,0.0000,0.3798,0.3798,0.6421
0.242,1.0736,1.0736,-0.0114,-10.7425,-10.7425,0.0000,0.3060,0.3060,0.6420
0.248,1.0736,1.0736,-0.0114,-10.7458,-10.7458,0.0000,0.3060,0.3060,0.6419
0.252,1.0736,1.0736,-0.0114,-10.7475,-10.7475,0.0000,0.3060,0.3060,0.6418
0.256,1.0736,1.0736,-0.0114,-10.7488,-10.7488,0.0000,0.3060,0.3060,0.6417
0.260,1.0743,1.0743,-0.0114,-10.7627,-10.7627,0.0000,0.2316,0.2316,0.6416
0.265,1.0743,1.0743,-0.0114,-10.7635,-10.7635,0.0000,0.2316,0.2316,0.6416
0.269,1.0743,1.0743,-0.0114,-10.7638,-10.7638,0.0000,0.2316,0.2316,0.6415
0.273,1.0743,1.0743,-0.0114,-10.7639,-10.7639,0.0000,0.2316,0.2316,0.6414
0.278,1.0718,1.0718,-0.0114,-10.7719,-10.7719,0.0000,0.2625,0.2625,0.6413
0.283,1.0718,1.0718,-0.0114,-10.7711,-10.7711,0.0000,0.2625,0.2625,0.6412
0.287,1.0718,1.0718,-0.0114,-10.7700,-10.7700,0.0000,0.2625,0.2625,0.6411
0.292,1.0718,1.0718,-0.0114,-10.7683,-10.7683,0.0000,0.2625,0.2625,0.6410
0.296,1.0718,1.0718,-0.0114,-10.7661,-10.7661,0.0000,0.2625,0.2625,0.6409
0.300,1.0694,1.0694,-0.0114,-10.7714,-10.7714,0.0000,0.2928,0.2928,0.6408
0.305,1.0694,1.0694,-0.0114,-10.7687,-10.7687,0.0000,0.2928,0.2928,0.6407
0.309,1.0694,1.0694,-0.0114,-10.7658,-10.7658,0.0000,0.2928,0.2928,0.6407
0.314,1.0694,1.0694,-0.0114,-10.7618,-10.7618,0.0000,0.2928,0.2928,0.6406
0.320,1.0667,1.0667,-0.0114,-10.7622,-10.7622,0.0000,0.3329,0.3329,0.6405
0.329,1.0667,1.0667,-0.0114,-10.7528,-10.7528,0.0000,0.3329,0.3329,0.6404
0.333,1.0667,1.0667,-0.0114,-10.7485,-10.7485,0.0000,0.3329,0.3329,0.6403
0.336,1.0667,1.0667,-0.0114,-10.7440,-10.7440,0.0000,0.3329,0.3329,0.6402
0.340,1.0645,1.0645,-0.0114,-10.7439,-10.7439,0.0000,0.3528,0.3528,0.6402
0.345,1.0645,1.0645,-0.0114,-10.7375,-10.7375,0.0000,0.3528,0.3528,0.6401
0.349,1.0645,1.0645,-0.0114,-10.7321,-10.7321,0.0000,0.3528,0.3528,0.6400
0.353,1.0645,1.0645,-0.0114,-10.7267,-10.7267,0.0000,0.3528,0.3528,0.6400
0.356,1.0645,1.0645,-0.0114,-10.7208,-10.7208,0.0000,0.3528,0.3528,0.6399
0.361,1.0642,1.0642,-0.0114,-10.7201,-10.7201,0.0000,0.2980,0.2980,0.6399
0.365,1.0642,1.0642,-0.0114,-10.7123,-10.7123,0.0000,0.2980,0.2980,0.6398
0.369,1.0642,1.0642,-0.0114,-10.7058,-10.7058,0.0000,0.2980,0.2980,0.6397
0.373,1.0642,1.0642,-0.0114,-10.6992,-10.6992,0.0000,0.2980,0.2980,0.6397
0.377,1.0642,1.0642,-0.0114,-10.6911,-10.6911,0.0000,0.2980,0.2980,0.6396
0.382,1.0625,1.0625,-0.0114,-10.6845,-10.6845,0.0000,0.2890,0.2890,0.6395
0.387,1.0625,1.0625,-0.0114,-10.6741,-10.6741,0.0000,0.2890,0.2890,0.6395
0.395,1.0625,1.0625,-0.0114,-10.6555,-10.6555,0.0000,0.2890,0.2890,0.6394
