Time,Input_Surge,Gain_Surge,Output_Surge,Input_Sway,Gain_Sway,Output_Sway,Input_Heave,Gain_Heave,Output_Heave
0.000,0.1238,-0.3827,-0.1219,0.1387,-0.1600,-0.1600,-1.0395,-0.0168,0.8099
0.015,0.0745,-0.3827,-0.1219,0.1648,-0.1600,-0.1600,-1.1345,-0.0168,0.8099
0.021,0.0689,-0.2301,-0.1219,0.1863,-0.2338,-0.2338,-1.0011,0.1099,0.8106
0.026,0.0689,-0.2129,-0.1219,0.1863,-0.3002,-0.3002,-1.0011,-0.3022,0.8096
0.030,0.0689,-0.2129,-0.1219,0.1873,-0.3002,-0.3002,-1.0663,-0.3022,0.8087
0.034,0.0689,-0.2129,-0.1219,0.1873,-0.3002,-0.3002,-1.0663,-0.3022,0.8079
0.037,0.0836,-0.2129,-0.1219,0.2044,-0.3002,-0.3002,-1.1121,-0.3022,0.8072
0.040,0.0836,-0.2584,-0.1219,0.2044,-0.3531,-0.3531,-1.1121,-0.1607,0.8068
0.044,0.0836,-0.2584,-0.1219,0.2044,-0.3531,-0.3531,-1.1121,-0.1607,0.8065
0.048,0.0836,-0.2584,-0.1219,0.2057,-0.3531,-0.3531,-1.1723,-0.1607,0.8061
0.052,0.0836,-0.2584,-0.1219,0.2057,-0.3531,-0.3531,-1.1723,-0.1607,0.8058
0.056,0.1115,-0.2584,-0.1219,0.2053,-0.3531,-0.3531,-1.2507,-0.1607,0.8054
0.060,0.1115,-0.3445,-0.1219,0.2053,-0.3519,-0.3519,-1.2507,0.0817,0.8056
0.064,0.1115,-0.3445,-0.1219,0.2053,-0.3519,-0.3519,-1.2507,0.0817,0.8057
0.067,0.1115,-0.3445,-0.1219,0.2053,-0.3519,-0.3519,-1.2507,0.0817,0.8059
0.070,0.0872,-0.3445,-0.1219,0.1947,-0.3519,-0.3519,-1.3111,0.0817,0.8060
0.074,0.0872,-0.2695,-0.1219,0.1947,-0.3162,-0.3162,-1.3111,0.0706,0.8062
0.079,0.0872,-0.2695,-0.1219,0.1947,-0.3162,-0.3162,-1.3111,0.0706,0.8063
0.087,0.1011,-0.2695,-0.1219,0.1680,-0.3162,-0.3162,-1.3103,0.0706,0.8065
0.096,0.1011,-0.3125,-0.1219,0.1661,-0.2338,-0.2338,-1.4057,0.0681,0.8067
0.101,0.1011,-0.3125,-0.1219,0.1661,-0.2338,-0.2338,-1.4057,0.0681,0.8070
